"SkillName","CanonicalSource","VariantCount","AvailableSources"
"fix-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"flutter-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"food-database-query","antigravity-claude","2","antigravity-claude;antigravity-codex"
"form-cro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-async","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-backend","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-data-transforms","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-either-ref","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-errors","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-option-ref","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-pipe-ref","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-pragmatic","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-react","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-refactor","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-taskeither-ref","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-ts-errors","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-ts-pragmatic","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-ts-react","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fp-types-ref","antigravity-claude","2","antigravity-claude;antigravity-codex"
"framework-migration-code-migrate","antigravity-claude","2","antigravity-claude;antigravity-codex"
"framework-migration-deps-upgrade","antigravity-claude","2","antigravity-claude;antigravity-codex"
"framework-migration-legacy-modernize","antigravity-claude","2","antigravity-claude;antigravity-codex"
"free-tool-strategy","antigravity-claude","2","antigravity-claude;antigravity-codex"
"freshdesk-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"freshservice-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-design","current-bundle","4","current-bundle;main;antigravity-claude;antigravity-codex"
"frontend-developer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-dev-guidelines","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-mobile-development-component-scaffold","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-mobile-security-xss-scan","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-security-coder","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-slides","antigravity-claude","2","antigravity-claude;antigravity-codex"
"frontend-ui-dark-ts","antigravity-claude","2","antigravity-claude;antigravity-codex"
"full-output-enforcement","antigravity-claude","2","antigravity-claude;antigravity-codex"
"full-stack-orchestration-full-stack-feature","antigravity-claude","2","antigravity-claude;antigravity-codex"
"game-development","current-bundle","3","current-bundle;antigravity-claude;antigravity-codex"
"gcp-cloud-run","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gdb-cli","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gdpr-data-handling","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gemini-api-dev","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gemini-api-integration","antigravity-claude","2","antigravity-claude;antigravity-codex"
"geoffrey-hinton","antigravity-claude","2","antigravity-claude;antigravity-codex"
"geo-fundamentals","current-bundle","3","current-bundle;antigravity-claude;antigravity-codex"
"gha-security-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gh-review-requests","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-advanced-workflows","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-hooks-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"github","antigravity-claude","2","antigravity-claude;antigravity-codex"
"github-actions-templates","antigravity-claude","2","antigravity-claude;antigravity-codex"
"github-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"github-issue-creator","antigravity-claude","2","antigravity-claude;antigravity-codex"
"github-workflow-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gitlab-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gitlab-ci-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gitops-workflow","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-pr-workflows-git-workflow","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-pr-workflows-onboard","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-pr-workflows-pr-enhance","antigravity-claude","2","antigravity-claude;antigravity-codex"
"git-pushing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"global-chat-agent-discovery","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gmail-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"goal-analyzer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"go-concurrency-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"godot-4-migration","antigravity-claude","2","antigravity-claude;antigravity-codex"
"godot-gdscript-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"golang-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-analytics-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-calendar-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-docs-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-drive-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"googlesheets-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-sheets-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"google-slides-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"go-playwright","antigravity-claude","2","antigravity-claude;antigravity-codex"
"go-rod-master","antigravity-claude","2","antigravity-claude;antigravity-codex"
"gpt-taste","antigravity-claude","2","antigravity-claude;antigravity-codex"
"grafana-dashboards","antigravity-claude","2","antigravity-claude;antigravity-codex"
"graphql","antigravity-claude","2","antigravity-claude;antigravity-codex"
"graphql-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"growth-engine","antigravity-claude","2","antigravity-claude;antigravity-codex"
"grpc-golang","antigravity-claude","2","antigravity-claude;antigravity-codex"
"haskell-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"headline-psychologist","antigravity-claude","2","antigravity-claude;antigravity-codex"
"health-trend-analyzer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"helium-mcp","antigravity-claude","2","antigravity-claude;antigravity-codex"
"helm-chart-scaffolding","antigravity-claude","2","antigravity-claude;antigravity-codex"
"helpdesk-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-content","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-controls","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-dialogs","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-layout","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-menus","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-search","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-status","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-components-system","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-foundations","antigravity-claude","2","antigravity-claude;antigravity-codex"
"high-end-visual-design","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-inputs","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
